Date,Time,Loc,"Left Leg
 Top/Bottom","Right Leg
 Top/Bottom",RFID No.,Band No.,"If recap, year caught","Tarsus
 (mm)","Skull
 (mm)",Wing (mm),Body mass (g),Forehead Black Width (mm),Species,Notes,Submitted to BBL portal (yes/no)
10/12/2023,8:30,SC,RFID Grey,Black/Alum,recap,2711-04479,2022,20.2,31.1,82,22.95,,TUTI,,
10/12/2023,9:15,PP,Yellow/Alum,RFID Grey,recap,2711-04909,2023,21.6,31.5,82,22.25,,TUTI,,
10/12/2023,9:15,PP,Green/Alum,RFID Green,3B004C0CD4,2711-04918,,23,32.1,84,22.63,,TUTI,,
10/12/2023,9:30,SC,Blue/Alum,RFID Green,recap,2711-04914,2023,21.2,29.8,79,21.68,,TUTI,,
10/14/2023,n/a,FP,Orange/Alum,RFID Grey,3B0048A97B,2711-04919,,23.6,32.1,82,23.35,,TUTI,,
10/14/2023,n/a,FP,Orange/Alum,RFID Green,3B0048EA2F,2711-04995,,21.5,31.8,82,21.29,,TUTI,,
10/14/2023,n/a,FP,Red/Alum,RFID Blue,3B00182B84,2711-04994,,22,31.7,82,23.92,,TUTI,,
10/14/2023,n/a,FP,Yellow/Alum,RFID Blue,3B0048B8D0,2711-04993,,20.7,33.6,80,24.02,,TUTI,,
10/14/2023,9:51,PP,Black/Alum,RFID Blue,3B00199ABA,2711-04984,,20.5,30,80,20.46,,TUTI,,
10/14/2023,9:51,PP,Red/Alum,RFID Green,recap,2711-04911,2023,19,31.5,76,22.15,,TUTI,,
10/16/2023,8:15,SC,RFID Grey,Orange/Alum,recap,2711-04908,2023,22,32.2,83,n/a,,TUTI,,
10/16/2023,8:15,SC,Green/Alum,RFID Grey,recap,2711-04917,2023,22,31.5,80,n/a,,TUTI,,
10/16/2023,8:15,SC ,Blue/Alum,RFID Green,recap,2711-04914,2023,21.4,29.8,80,n/a,,TUTI,,
10/17/2023,8:40,SC,Green/Alum,RFID Grey,recap,2711-04917,2023,23.8,31,79,21.75,,TUTI,We caught this same bird the day before - poor guy had a rough 2 days,
10/17/2023,8:40,SC,Blue/Alum,RFID Blue,3B00191480,2711-04920,,19.3,31.6,82,22.52,,TUTI,,
10/17/2023,9:50,PP,Yellow/Alum,RFID Green,recap,2711-04912,2023,19.9,30.8,81,22.93,,TUTI,,
10/17/2023,9:50,PP,Red/Alum,RFID Green,recap,2711-04911,2023,21.8,31.1,76,22.84,,TUTI,Why is this one highlighted?,
10/19/2023,9:00,PP,Black/Alum,RFID Blue,recap,2711-04984,2023,21,31.1,79,19.93,,TUTI,,
10/19/2023,9:30,MS,Orange/Alum,RFID Grey,recap,2711-04919,2023,23.5,32.5,84,22.75,,TUTI,,
10/19/2023,9:47,SC,Green/Alum,RFID Green,recap,2711-04918,2023,22.6,31.2,83,20.18,,TUTI,,
10/22/2023,8:30,SC,Blue/Alum,RFID Green,recap,2711-04914,2023,20.9,31.5,80,21.62,,TUTI,,
10/22/2023,8:51,MS,Red/Alum,RFID Blue,recap,2711-04994,2023,21.5,32.2,85,23.35,,TUTI,,
10/22/2023,8:55,UM,Green/Alum,RFID Blue,3B00187434,2711-04988,,21.3,31.7,83,20.67,,TUTI,,
10/22/2023,9:00,SC,Blue/Alum,RFID Blue,recap,2711-04920,2023,21.3,31.9,86,22.57,,TUTI,Tarsus and Wing starred,
10/22/2023,9:30,PP,Orange/Alum,RFID Blue,3B001828A9,2711-04922,,22.1,31.2,82,21.57,,TUTI,,
10/24/2023,10:00,PP,Yellow/Alum,RFID Grey,recap,2711-04909,2023,22.5,32.2,85,22.31,,TUTI,,
10/24/2023,10:00,Pines,Orange/Alum,RFID Red,3B0048F2EB,2711-04992,,21.5,31.5,78,20.96,,TUTI,,
10/24/2023,10:00,Pines,Yellow/Alum,RFID Black,3B0049DE65,2711-04924,,20.3,31.4,80,20.51,,TUTI,,
10/24/2023,10:00,Pines,Red/Alum,RFID Black,3B0018BA65,2711-04925,,21.8,31,82,22.01,,TUTI,,
10/24/2023,10:45,MS,RFID White,Yellow/Alum,recap,2940-51621,2022,20.5,30.8,80,19.14,,TUTI,,
10/24/2023,n/a,UM,Black/Alum,RFID Black,3B00485EFA,2711-04923,,21.3,30.9,87,25.3,,TUTI,,
10/24/2023,n/a,Pines,Blue/Alum,RFID Black,3B004899C9,2711-04926,,20.1,30.7,81,22.64,,TUTI,,
10/26/2023,9:15,SC,Blue/Alum,RFID Green,recap,2711-04914,2023,21.3,31,80,20.84,,TUTI,Caught 5 times this year!,
10/26/2023,10:10,Pines,Green/Alum,RFID Black,3B004BD1E4,2711-04927,,22.4,31.8,79,21.33,,TUTI,,
10/28/2023,10:20,Pines,Orange/Alum,RFID Black,3B00191310,2711-04928,,22,29,79,22.34,,TUTI,,
10/28/2023,10:20,Pines,Red/Alum,RFID Purple,01103FD94D,2711-04929,,21.4,31.1,81,20.95,,TUTI,,
10/28/2023,n/a,SC ,Black/Alum,RFID Blue,recap,2711-04984,2023,19,20.2,79,20.85,,TUTI,,
10/31/2023,n/a,UM ,Black/Alum,RFID Green,recap,2711-04913,2023,n/a,n/a,n/a,n/a,,TUTI,,
10/31/2023,n/a,Pines,Yellow/Alum,RFID Black,recap,2711-04924,2023,21.8,31.1,83,20.52,,TUTI,,
10/31/2023,9:55,Pines,Green/Alum,RFID Black,recap,2711-04927,2023,22.9,30.8,79,n/a,,TUTI,,
11/5/2023,9:16,UM,Yellow/Alum,RFID Purple,01103FDD0C,2711-04930,,21.7,29.9,78,19.89,,TUTI,,
11/5/2023,9:39,UM,Black/Alum,RFID Grey,recap,2711-04910,2023,22.6,31.1,85,n/a,,TUTI,escaped before mass,
11/5/2023,9:54,PP ,Yellow/Alum,RFID Green,recap,2711-04912,2023,22.5,31.1,81,22.57,,TUTI,,
11/5/2023,9:58,Pines,Yellow/Alum,RFID Black,recap,2711-04924,2023,22,30.6,82,20.73,,TUTI,,
11/7/2023,8:50,SC,RFID Grey,Orange/Alum,recap,2711-04908,2023,21,30.5,83,23.2,,TUTI,,
11/7/2023,8:50,Pines,Orange/Alum,RFID Black,recap,2711-04928,2023,21,30.04,82,22.16,,TUTI,,
11/7/2023,9:30,Pines,Green/Alum,RFID Blue,recap,2711-04988,2023,22,31,81,20.46,,TUTI,,
11/7/2023,9:30,Pines,Yellow/Alum,RFID Purple,recap,2711-04930,2023,21.5,30.7,78,19.72,,TUTI,,
11/11/2023,9:00,SC,Blue/Alum,RFID Green,recap ,2711-04914,2023,20.5,30.1,80,20.97,,TUTI,Now 6 times for this guy!,
11/11/2023,9:00,SC ,Green/Alum,RFID Grey,recap,2711-04917,2023,21.1,31.6,81,21.56,,TUTI,,
11/11/2023,9:40,SC,Black/Alum,RFID Green,recap,2711-04913,2023,20,30.7,79,20.26,,TUTI,,
11/11/2023,9:40,SC ,Black/Alum,RFID Grey,recap,2711-04910,2023,20.8,31.4,85,21.92,,TUTI,,
11/11/2023,10:30,SC,Blue/Alum,RFID Blue,recap,2711-04920,2023,20.3,32.1,84,22.52,,TUTI,,
11/11/2023,10:30,SC ,RFID Grey,Orange/Alum,recap,2711-04908,2023,20.6,31,84,23.82,,TUTI,caught 5 times,
11/14/2023,10:10,BW,Black/Alum,RFID Purple,01103FDA1F,2711-04983,,20.2,31.5,78,20,,TUTI,,
11/16/2023,10:00,Pines,Red/Alum,RFID Purple,recap,2711-04929,2023,21.5,30.3,79,21.39,,TUTI,,
11/16/2023,10:00,Pines,Orange/Alum,RFID Black,recap,2711-04928,2023,21.4,28.2,78,22.11,,TUTI,head measurement is small but this guy had a visibly small head so i think it's correct,
11/16/2023,10:30,BW,Black/Alum,RFID Purple,recap,2711-04983,2023,n/a,n/a,n/a,n/a,,TUTI ,"banded this guy two days earlier, so did not repeat measurements",
11/16/2023,10:30,R9,Blue/Alum,RFID Purple,01103FDE61,2711-04981,,21.9,31.8,81,22.13,,TUTI,,
11/16/2023,10:30,R9,Green/Alum,RFID Purple,01103FDE69,2711-04980,,21.9,32.1,77,19.47,,TUTI,small guy,
11/16/2023,10:30,BW,Orange/Alum,RFID Purple,3B00194684,2711-04979,,22.2,31.9,78,19.78,,TUTI,,
11/16/2023,10:30,BW,RFID Yellow,Yellow/Alum,3B00494FE7,2711-04978,,23,31.5,78,21.83,,TUTI,,
11/16/2023,10:30,BW,RFID Yellow,Black/Alum,3B004BC650,2711-04977,,23.4,32.1,87,23.61,,TUTI ,big wing but it's correct,
11/16/2023,10:30,BW ,RFID Black,Red/Alum,recap,2711-04997,2022,,,,,,TUTI,"fed at R9 mostly, BW a couple times last year",
11/16/2023,10:30,BW,Red/Alum,RFID Yellow,3B004BF9D9,2711-04976,,22.5,31.3,79,20.42,,TUTI,,
11/16/2023,10:30,BW,Black/Alum,RFID Yellow,3B004C8BEF,2711-04975,,21.3,31,80,20.64,,TUTI,,
11/30/2023,8:45,SC,RFID Grey,Black/Alum,recap,2711-04479,2022,22.7,30,81,24.54,,TUTI,fat ,
11/30/2023,10:15,Pines,RFID Black,Blue/Alum,recap,2711-04926,2023,21.1,31.8,80,22.68,,TUTI,,
11/30/2023,10:15,Pines,RFID Black,Yellow/Alum,recap,2711-04924,2023,21.5,30,79,20,,TUTI,,
11/30/2023,10:40,Pines,Red/Alum,RFID Black,recap,2711-04928,2023,n/a,n/a,n/a,n/a,,TUTI,,
11/30/2023,11:15,FP,RFID Black,Orange/Alum,3B0018A28A,2711-04974,,20.9,32.6,78,20.82,,TUTI,,
