Date,Time,Loc,"Left Leg
 Top/Bottom","Right Leg
 Top/Bottom",RFID No.,Band No.,"If recap, year caught","Tarsus
 (mm)","Skull
 (mm)",Wing (mm),Body mass (g),Forehead Black Width (mm),Species,Notes,Submitted to BBL portal (yes/no)
10/15/2022,,not recorded,Grey/aluminum,RFID Grey,recap,1570-79154,,not measured,not measured,not measured,not measured,,BCCH,,
9/27/2022,,Pines,Orange/alum,RFID Yellow,recap,1570-79155,,20.05,20.95,65,not measured,,BCCH,,
10/15/2022,,not recorded,RFID Yellow,Orange/aluminum,recap,1570-79155,,not measured,not measured,not measured,not measured,,BCCH,,
9/27/2022,,SC,RFID Purple,Orange/aluminum,recap,1570-79158,,20.25,39.9,69,11.07,,BCCH,,
9/29/2022,,SC,RFID Pink,Orange/aluminum,recap,1570-79158,,not measured,27,65,11.04,,BCCH,,
9/27/2022,,Pines,RFID Yellow,Blue/alum,recap,1570-79161,,not measured,26.6,66,10.53,,BCCH,,
10/6/2022,,Pines,RFID Yellow,Blue/alum,recap,1570-79161,,not measured,31.9,62,10.57,,BCCH,,
11/1/2022,,Pines,RFID Yellow,Blue/alum,recap,1570-79161,,not measured,not measured,not measured,not measured,,BCCH,,
10/27/2022,,R9,Yellow/aluminum,RFID Green,recap,1570-79163,,not measured,not measured,not measured,not measured,,BCCH,,
10/6/2022,,BL,White/aluminum,RFID White,recap,1570-79164,,not measured,27.4,67,13.13,,BCCH,,
10/13/2022,,BL,White/aluminum,RFID White,recap,1570-79164,,not measured,28.1,70,12.67,,BCCH,,
11/3/2022,,BL,White/aluminum,RFID White,recap,1570-79164,,not measured,28.4,66,12.19,,BCCH,,
10/20/2022,,R9,RFID Blue,Black/aluminum,recap,1570-79168,,not measured,27.1,67,11.26,,BCCH,,
10/27/2022,,R9,RFID Blue,Black/aluminum,recap,1570-79168,,not measured,26.8,70,11.06,,BCCH,,
9/27/2022,,MS,Blue/aluminum,RFID Blue,3B00481F1E,1570-79169,,18.2,26.5,68,11.79,,BCCH,,
9/29/2022,,UM,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,26.4,67,11.63,,BCCH,,
10/11/2022,,MS,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,not recorded,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
10/18/2022,,not recorded,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
10/18/2022,,not recorded,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
10/25/2022,,Pines,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
11/1/2022,,not recorded,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
11/1/2022,,not recorded,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
9/27/2022,,Pines,Red/aluminum,RFID Grey,01103F9D11,1570-79170,,not measured,27.7,67,12.1,,BCCH,,
10/6/2022,,HP,red/aluminum,RFID Grey,recap,1570-79170,,not measured,30.3,63,11.83,,BCCH,,
10/13/2022,,BW,red/aluminum,RFID Grey,recap,1570-79170,,not measured,29.2,66,12.57,,BCCH,,
9/29/2022,,UM,RFID White,Green/alum,01103F930E,1570-79171,,not measured,26.2,67,8.07,,BCCH,,
10/4/2022,,BL,RFID Grey,Yellow/aluminum,011016D437,1570-79172,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,not recorded,RFID Grey,Yellow/aluminum,recap,1570-79172,,not measured,not measured,not measured,not measured,,BCCH,,
10/4/2022,,BL,RFID Grey,Red/aluminum,01103FC21C,1570-79173,,not measured,26.4,66,11.91,,BCCH,,
10/4/2022,,Pines,RFID Grey,Red/aluminum,recap,1570-79173,,not measured,28.2,67,12.63,,BCCH,,
10/25/2022,,BL,RFID Grey,Red/aluminum,recap,1570-79173,,not measured,not measured,not measured,not measured,,BCCH,,
10/4/2022,,not recorded,RFID Red,Green/alum,01103FA3CB,1570-79174,,not measured,23.4,73,10.69,,BCCH,,
10/13/2022,,BL,RFID Red,Green/alum,recap,1570-79174,,not measured,27,65,11.4,,BCCH,,
10/27/2022,,BL,RFID Red,Green/alum,recap,1570-79174,,not measured,27.1,69,11.53,,BCCH,,
10/6/2022,,FP,Yellow/aluminum,RFID Red,01101743D4,1570-79175,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,FP,Yellow/aluminum,RFID Red,recap,1570-79175,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,not recorded,Yellow/aluminum,RFID Red,recap,1570-79175,,not measured,not measured,not measured,not measured,,BCCH,,
10/6/2022,,HP,Black/alum,RFID Red,01103F8128,1570-79176,,not measured,27,69,11.05,,BCCH,,
10/13/2022,,R9,Black/alum,RFID Red,recap,1570-79176,,not measured,28,69,11.24,,BCCH,,
10/15/2022,,UM,Red/aluminum,RFID Red,01103F7C12,1570-79177,,not measured,27.6,78,12.3,,BCCH,,
10/20/2022,,R9,Blue/aluminum,RFID Black,011016-E228,1570-79178,,not measured,27.6,68,12.58,,BCCH,,
10/20/2022,,BW,Blue/aluminum,RFID Black,recap,1570-79178,,not measured,27.6,68,12.58,,BCCH,,
10/27/2022,,not recorded,Blue/aluminum,RFID Black,recap,1570-79178,,not measured,26.7,68,not measured,,BCCH,,
10/25/2022,,Pines,Green/aluminum,RFID Red,011016BBD3,1570-79179,,not measured,27.3,66,11.88,,BCCH,,
10/25/2022,,BL,Green/aluminum,RFID Red,01103FB5EE,1570-79183,,not measured,28.1,68,12.3,,BCCH,,
11/3/2022,,BL,Green/aluminum,RFID Red,recap,1570-79183,,not measured,28.1,67,11.99,,BCCH,,
11/1/2022,,UM,RFID Blue,Black/aluminum,01103F60D6,1570-79184,,not measured,29.5,69,11.4,,BCCH,,
10/27/2022,,R9,RFID Purple,Black/aluminum,3B0018DF03,1570-79185,,not measured,25.9,64,10.67,,BCCH,,
10/6/2022,,FP,Black/alum,RFID White,01103F51D7,1570-79186,,not measured,26.2,61,9.62,,BCCH,,
11/3/2022,,UM,RFID Purple,Red/aluminum,3B0018777A,1570-79189,,not measured,27.2,66,not measured,,BCCH,,
11/1/2022,,UM,RFID Red,Yellow/aluminum,recap,1570-79190,,not measured,not measured,not measured,not measured,,BCCH,,
11/3/2022,,BL,Green/aluminum,RFID Black,3B0018DFC2,1570-79191,,not measured,26.8,65,11.3,,BCCH,,
10/25/2022,,HP,RFID Blue,Green/alum,011016C455,1570-79192,,not measured,27.5,65,11.73,,BCCH,,
10/25/2022,,HP,RFID Grey,White/alum,01103F84EE,1570-79193,,not measured,26.7,63,11.42,,BCCH,,
10/27/2022,,R9,RFID Grey,White/alum,recap,1570-79193,,not measured,26.4,68,11.69,,BCCH,,
10/25/2022,,HP,Green/aluminum,RFID Purple,01103F44255,1570-79194,,not measured,29.4,65,11.18,,BCCH,,
10/27/2022,,BW,RFID Purple,Green/alum,recap,1570-79194,,not measured,28,66,11.12,,BCCH,,
10/4/2022,,UM,Yellow/aluminum,RFID White,01103FC161,1570-79195,,not measured,26.6,63,10.82,,BCCH,,
10/25/2022,,UM,Yellow/aluminum,RFID White,recap,1570-79195,,not measured,not measured,not measured,not measured,,BCCH,,
10/20/2022,,R9,Black/alum,RFID Grey,011026BC71,1570-79196,,not measured,27.4,65,10.62,,BCCH,,
11/3/2022,,HP,Black/alum,RFID Grey,recap,1570-79196,,not measured,not measured,not measured,not measured,,BCCH,,
11/3/2022,,HP,Black/alum,RFID Grey,recap,1570-79196,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,UM,Blue/aluminum,RFID Green,3B0019264F,1570-79197,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,UM,Red/aluminum,RFID Green,3B00184BFD,1570-79198,,not measured,26.7,62,10.25,,BCCH,,
11/3/2022,,UM,red/aluminum,RFID Green,recap,1570-79198,,not measured,26.1,64,10.22,,BCCH,,
10/4/2022,,FP,Yellow/aluminum,RFID Yellow,3B001856F3,1570-79199,,not measured,20.7,67,10.92,,BCCH,,
10/11/2022,,MS,Yellow/aluminum,RFID Yellow,recap,1570-79199,,not measured,not measured,not measured,not measured,,BCCH,,
10/4/2022,,FP,RFID Black,Black/aluminum,3B0018E435,1570-79200,,not measured,25.9,69,11.31,,BCCH,,
10/4/2022,,Pines,Green/aluminum,RFID Blue,recap,1570-79753,,not measured,27,64,10.09,,BCCH,,
10/4/2022,,FP,RFID Black,Purple/alum,recap,1570-79804,,not measured,32.5,62,11.47,,BCCH,,
10/13/2022,,R9,RFID Blue,Red/aluminum,01103F6FA3,2940-51601,,not measured,27.2,66,12.92,,BCCH,,
10/13/2022,,R9,red/aluminum,RFID White,01103F92D5,2940-51603,,not measured,29.2,60,not measured,,BCCH,,
10/27/2022,,R9,Red/aluminum,RFID White,recap,2940-51603,,not measured,26.6,66,10.41,,BCCH,,
10/13/2022,,R9,RFID Black,Blue/alum,011016D9C0,2940-51604,,not measured,28,68,11.98,,BCCH,,
10/13/2022,,R9,RFID Purple(?),Yellow/aluminum,01103F933C,2940-51605,,not measured,26.9,65,10.47,,BCCH,,
10/27/2022,,R9,RFID Purple,Yellow/aluminum,recap,2940-51605,,not measured,26.5,66,not measured,,BCCH,,
10/4/2022,,UM,Yellow/aluminum,RFID Red,01103FD0EF,escaped before banded,,not measured,not measured,not measured,not measured,,BCCH,,
11/1/2022,,UM,Yellow only,RFID Red,recap,no alum,,not measured,not measured,not measured,not measured,,BCCH,,
10/15/2022,,not recorded,Green/aluminum,RFID Blue,recap,1570-79753,,not measured,not measured,not measured,not measured,,BCCH,,
10/25/2022,,not recorded,red/aluminum,RFID Red,recap,not recorded,,not measured,not measured,not measured,not measured,,BCCH,,
10/25/2022,,Pines,red/aluminum,RFID Red,recap,not recorded,,not measured,not measured,not measured,not measured,,BCCH,,
10/27/2022,,BW,RFID Green,Black/aluminum,recap,not recorded,,not measured,not measured,not measured,not measured,,BCCH,,
11/8/2022,,UM,Blue/aluminum,RFID Blue,recap,1570-79169,,not measured,not measured,not measured,not measured,,BCCH,,
11/10/2022,,Pines,red/aluminum,RFID Red,recap,1570-79177,,not measured,not measured,not measured,not measured,,BCCH,,
11/8/2022,,SC,RFID Red,Black/aluminum,01103FB83A,1570-79188,,not measured,26.4,61,9.91,,BCCH,,
11/8/2022,,MS,RFID Black,Yellow/aluminum,011016C212,2940-51608,,not measured,26.2,69,11.58,,BCCH,,
11/10/2022,,Pines,RFID Blue,Black/aluminum,recap,1570-79184,,not measured,not measured,not measured,not measured,,BCCH,,
11/10/2022,,UM,Black/alum,RFID Green,3B0018DF1A,1570-79202,,not measured,25.7,60,10.96,,BCCH,,
11/10/2022,,UM,red/aluminum,RFID Green,recap,1570-79198,,not measured,26.1,65,10.23,,BCCH,,
11/10/2022,,UM,RFID Grey,Blue/alum,01103F414B,1570-79246,,not measured,26.7,65,10.91,,BCCH,,
9/27/2022,,Pines,Red/aluminum,RFID Grey,3B001871E3,2711-04475,,not measured,32.2,86,24.92,,TUTI,,
9/29/2022,,PP,RFID Grey,Yellow/alum,3B001948BB,2711-04477,,not measured,32.7,88,22.96,,TUTI,,
9/29/2022,,SC,RFID Grey,Black/alum,3B00189D58,2711-04479,,not measured,32,83,23.41,,TUTI,,
10/4/2022,,Pines,RFID Grey,Blue/aluminum,3B0018DBDB,2711-04482,,not measured,32.2,81,22.77,,TUTI,,
10/4/2022,,UM,RFID Grey,Green/aluminum,3B0019E7D5,2711-04483,,not measured,31.5,79,not measured,,TUTI,,
10/4/2022,,FP,RFID Green,White/alum,3B001870D3,2711-04481,,not measured,31.6,83,28.29,,TUTI,,
10/4/2022,,Pines,RFID Green,Orange/alum,3B00189A24,2711-04484,,not measured,32.2,84,21.38,,TUTI,,
10/6/2022,,BL,RFID Green,White/alum,recap,2711-04481,,not measured,32.3,84,21.88,,TUTI,,
10/6/2022,,BL,RFID Blue,Red/aluminum,3B0018FB4E,2711-04485,,not measured,32.3,87,20.9,,TUTI,,
10/6/2022,,HP,RFID Green,Green/aluminum,3B001916F5,2711-04487,,not measured,31.3,84,23.65,,TUTI,,
10/6/2022,,HP,RFID Green,Blue/aluminum,3B0018C829,2711-04488,,not measured,33.8,85,22.5,,TUTI,,
10/11/2022,,UM,Red/aluminum,RFID Grey,recap,2711-04475,,not measured,not measured,not measured,not measured,,TUTI,,
10/11/2022,,UM,RFID Blue,Black/alum,3B0018ECB4,2711-04490,,not measured,33.7,79,21.26,,TUTI,,
10/11/2022,,MS,RFID Blue,Yellow/alum,3B0018CB19,2711-04491,,not measured,33.8,80,23.29,,TUTI,,
10/11/2022,,UM,RFID Blue,Green/aluminum,3B0018C689,2711-04492,,not measured,32.3,86,23.57,,TUTI,,
10/13/2022,,not recorded,RFID Green,Red/aluminum,3B001927FF,2711-04499,,not measured,32.9,86,22.9,,TUTI,,
10/13/2022,,HP,RFID Green,Blue/aluminum,recap,2711-04488,,not measured,29.1,87.5,22.27,,TUTI,,
10/15/2022,,not recorded,RFID Grey,Blue/aluminum,recap,2711-04842,,not measured,not measured,not measured,not measured,,TUTI,,
10/15/2022,,not recorded,RFID Blue,Green/aluminum,recap,2711-04492,,not measured,not measured,not measured,not measured,,TUTI,,
10/15/2022,,not recorded,Red/aluminum,RFID Grey,recap,2711-04475,,not measured,not measured,not measured,not measured,,TUTI,,
10/15/2022,,BL,RFID Blue,White/alum,3B00485698,2711-04495,,not measured,30.5,85,23.5,,TUTI,,
10/15/2022,,HP,RFID Blue,Orange/alum,3B00188B8D,2940-51602,,not measured,31.7,81,23.22,,TUTI,,
10/15/2022,,HP,RFID Yellow,Red/aluminum,01103F4359,2940-51607,,not measured,27.9,77,20.57,,TUTI,,
10/15/2022,,UM,RFID White,Red/aluminum,3B0018937F,2940-51699,,not measured,31,86,23.09,,TUTI,,
10/15/2022,,UM,RFID White,Yellow/alum,3B00487C6B,2940-51621,,not measured,30.4,78,20.28,,TUTI,,
10/18/2022,,UM,RFID White,Black/alum,3B0018AF13,2711-04474,,not measured,30,89,23.51,,TUTI,,
10/20/2022,,R9,RFID White,Blue/aluminum,3B00191A1F,2711-04497,,not measured,30.1,85,24,,TUTI,,
10/20/2022,,R9,RFID White,Green/aluminum,3B00186A59,2711-04496,,not measured,32,80,20.95,,TUTI,,
10/20/2022,,BW,RFID Grey,Blue/aluminum,recap,2711-04482,,not measured,33.3,83,22.65,,TUTI,,
10/20/2022,,BW,RFID White,White/alum,3B0018E84C,2711-04901,,not measured,31.4,82,21.89,,TUTI,,
10/25/2022,,Pines,RFID Red,Black/alum,3B00183AAF,2711-05000,,not measured,31.2,79,21.95,,TUTI,,
10/25/2022,,BL,RFID Green,Blue/aluminum,recap,2711-04488,,not measured,not measured,not measured,not measured,,TUTI,,
10/25/2022,,BL,RFID Red,Blue/aluminum,3B00181E62,2711-04903,,not measured,30.2,78,22.8,,TUTI,,
10/25/2022,,HP,RFID Green,Red/aluminum,recap,2711-04499,,not measured,not measured,not measured,not measured,,TUTI,,
10/25/2022,,HP,RFID Red,Red/aluminum,3B00182E11,2711-04902,,not measured,32.1,83,24.14,,TUTI,,
10/25/2022,,UM,RFID Blue,Black/alum,recap,2711-04491,,not measured,not measured,not measured,not measured,,TUTI,,
10/25/2022,,UM,RFID Grey,Black/alum,recap,2711-04479,,not measured,not measured,not measured,not measured,,TUTI,,
10/27/2022,,HP,RFID Grey,Blue/aluminum,recap,2711-04482,,not measured,32.4,84,22.79,,TUTI,,
10/27/2022,,BL,RFID Red,Yellow/aluminum,3B0048A567,2711-04904,,not measured,30.7,76,20.59,,TUTI,,
10/27/2022,,BW,RFID White,Orange/aluminum,3B001896B8,2711-04982,,not measured,33.6,83,23.11,,TUTI,,
10/27/2022,,BW,RFID Red,Green/aluminum,3B00189486,2711-04968,,not measured,32.5,75,21.43,,TUTI,,
10/27/2022,,BW,RFID Red,White/alum,3B001859FB,2711-04758,,not measured,30.3,80,20.52,,TUTI,,
10/27/2022,,not recorded,RFID White,White/alum,recap,2711-04901,,not measured,not measured,not measured,not measured,,TUTI,,
11/1/2022,,Pines,RFID White,Yellow/alum,recap,2940-51621,,not measured,not measured,not measured,not measured,,TUTI,,
11/3/2022,,HP,RFID Red,White/alum,recap,2711-04958,,not measured,30.1,76,20.29,,TUTI,,
11/3/2022,,Pines,RFID Blue,Red/aluminum,recap,2711-04485,,not measured,31.7,90,22.74,,TUTI,,
11/3/2022,,Pines,RFID Black,Red/aluminum,3B00188242,2711-04997,,not measured,33,83,24.45,,TUTI,,
11/3/2022,,HP,RFID Grey,Blue/aluminum,recap,2711-04482,,not measured,32.5,86,22.46,,TUTI,,
11/3/2022,,not recorded,RFID Blue,Green/aluminum,recap,2711-04472,,not measured,not measured,not measured,not measured,,TUTI,,
11/4/2022,,UM,RFID Black,Yellow/alum,3B0018E8D8,2711-04905,,not measured,33.2,85,22.07,,TUTI,,
11/8/2022,,UM,RFID Purple,Red/aluminum,01103FDF4C,2711-04996,,not measured,30.4,80,20.88,,TUTI,,
11/10/2022,,Pines,RFID White,Red/aluminum,recap,2940-51699,,not measured,32.6,88,22.25,,TUTI,,
11/10/2022,,UM,RFID White,Black/alum,recap,2711-04494,,not measured,32.9,85,23.99,,TUTI,,
11/10/2022,,UM,RFID Blue,Black/alum,recap,2711-04490,,not measured,not measured,not measured,not measured,,TUTI,,
9/27/2022,,SC,Red/aluminum,RFID Grey,3B00191EF1,2711-04473,,19.8,40.5,93,19.88,,WBNU,,
9/27/2022,,MS,Yellow/aluminum,RFID Grey,3B00188CD1,2711-04474,,not measured,40.3,90,20.37,,WBNU,,
9/27/2022,,MS,Black/aluminum,RFID Grey,3B00183C10,2711-04476,,not measured,39,90,20.36,,WBNU,,
9/29/2022,,UM,Blue/alum,RFID Grey,3B004D8864,2711-04478,,not measured,40,98,20.43,,WBNU,,
9/29/2022,,MS,Green/alum,RFID Green,3B00485E77,2711-04480,,not measured,40.4,91,20.96,,WBNU,,
10/6/2022,,BL,White/aluminum,RFID Green,3B00190C46,2711-04486,,not measured,41.2,92,23.28,,WBNU,,
10/11/2022,,MS,Red/aluminum,RFID Blue,3B00188508,2711-04489,,not measured,39,90,20.99,,WBNU,,
10/13/2022,,HP,Red/aluminum,RFID Green,3B001A7A09,2711-04500,,not measured,not measured,not measured,not measured,,WBNU,,
10/13/2022,,HP,Green/alum,RFID Grey,3B0049378B,2711-04478,,not measured,38.4,90,not measured,,WBNU,,
10/13/2022,,BL,Yellow/aluminum,RFID Green,3B00193051,2711-04493,,not measured,38.4,91,23.3,,WBNU,,
10/13/2022,,BL,Blue/alum,RFID Green,3B0049398C,2940-1606,,not measured,49.9,87,21.55,,WBNU,,
10/13/2022,,Pines,Yellow/aluminum,RFID Blue,3B0018641F,2940-51609,,not measured,40.6,94,not measured,,WBNU,,
10/15/2022,,not recorded,White/aluminum,RFID Green,recap,2711-04486,,not measured,not measured,not measured,not measured,,WBNU,,
10/18/2022,,HP,Blue/alum,RFID Blue,3B001893C8,2940-51611,,not measured,38.8,94,21.99,,WBNU,,
10/25/2022,,Pines,Black/aluminum,RFID Grey,recap,2711-04476,,not measured,44.3,89,21.19,,WBNU,,
10/25/2022,,UM,Red/aluminum,RFID Grey,recap,2711-04473,,not measured,not measured,not measured,not measured,,WBNU,,
10/27/2022,,BL,Yellow/aluminum,RFID Green,recap,2711-04493,,not measured,38.5,91,23.6,,WBNU,,
10/27/2022,,BL,White/aluminum,RFID Green,recap,2711-04486,,not measured,41.1,93,20.14,,WBNU,,
11/1/2022,,not recorded,Black/aluminum,RFID Blue,3B001925C5,2711-04999,,not measured,40.7,91,21.48,,WBNU,,
11/3/2022,,UM,Yellow/aluminum,RFID Black,3B0018CE4E,2711-04998,,not measured,37.9,87,21.23,,WBNU,,
11/3/2022,,Pines,Red/aluminum,RFID Blue,recap,2711-04489,,not measured,40.1,90,20.96,,WBNU,,
11/3/2022,,Pines,Yellow/aluminum,RFID Blue,recap,2940-51609,,not measured,40.3,93,21.96,,WBNU,,
11/8/2022,,MS,Green/alum,RFID Green,recap,2711-04480,,not measured,not measured,not measured,not measured,,WBNU,,
11/8/2022,,UM,Yellow/aluminum,RFID Black,recap,2711-04998,,not measured,not measured,not measured,not measured,,WBNU,,
11/10/2022,,UM,Blue/alum,RFID Grey,recap,2711-04478,,not measured,not measured,not measured,not measured,,WBNU,,
11/8/2022,,SC,Red/aluminum,RFID White,3B001863A1,2711-04906,,not measured,39.9,95,21.4,,WBNU,,
11/8/2022,,MS,Yellow/aluminum,RFID White,3B0018C0C1,2711-04907,,not measured,39.95,93,21.45,,WBNU,,
9/29/2021,,PP,grey/alum,RFID grey,recap,1570-79020,,17.1,28.2,68,11.08,,BCCH,,
9/29/2021,,SC,blue/RFID,grey/alum,recap,1570-79077,,17.7,27.8,65,,,BCCH,,
10/3/2021,,PP,RFID red ,red/alum,recap,1570-79069,,17.2,27.4,62,11.1?,,BCCH,,
10/3/2021,,PP,black/alum,RFID blue,01103F6724,1570-79149,,17.9,28.2,67,,,BCCH,,
10/7/2021,10:00 AM,PS,grey/alum,RFID grey ,011016AD24,150-79154,,16.5,27.8,68,,,BCCH,,
10/7/2021,10:00 AM,PS,orange/alum,RFD yellow,01103FA4F7,150-79155,,16.9,27.2,66,,,BCCH,,
10/7/2021,9:45 AM,PS,RFID yellow,orange/alum,recap,1570-79115,,17.1,27.2,65,,,BCCH,,
10/7/2021,10:00 AM,PS,RFID white,green/alum,01103FC15F,1570-79146,,16.7,27.3,67,,,BCCH,,
10/7/2021,9:30 AM,HP,black/alum,RFID black ,01103F4D6F,1570-79150,,17.1,27.8,65,,,BCCH,,
10/7/2021,10:00 AM,PS,blue/alum,RFID white,01103FBCA7,1570-79151,,16.3,26.9,66,,,BCCH,,
10/7/2021,10:00 AM,PS,green/alum,RFID yellow,01103FA57F,1570-79152,,16.2,27.4,64,,,BCCH,,
10/7/2021,10:00 AM,PS,green/alum,RFID blue,011016C89D,1570-79153,,16.9,27.2,64,,,BCCH,,
10/10/2021,,SC,purple/alum,RFID grey,recap,150-79080,,17.4,27.5,65,,,BCCH,,
10/10/2021,,SC,grey/alum,RFID yellow,recap,150-79081,,16,26.6,64,,,BCCH,,
10/12/2021,,PS,RFID green,yellow alum,01103FB3D8,150-79156,,16.1,27.1,67,12.29,,BCCH,,
10/12/2021,,BL?,white/alum,RFID red,01103F8F3E,1570-79142,,15.7,27.7,63,10.88,,BCCH,,
10/21/2021,,HP,RFID green ,blue/alum,01103F91AA,1570-79157,,17.3,27.1,65,11.39,,BCCH,,
10/23/2021,8:30 AM,SC,RFID purple,orange/alum,01103FE2AB,1570-79158,,16.7,27.4,60,,,BCCH,,
10/28/2021,8:45 AM,R9,RFID white,yellow/alum,01103F50F9,1570-79159,,16.1,26.2,68,11.1,,BCCH,,
10/31/2021,8:30 AM,S?,black/alum,RFID red,,1570-79013,,16.8,26.9,69,,,BCCH,,
10/31/2021,,,grey/alum,RFID grey,,1570-79020,,,26.9,69,,,BCCH,,
10/31/2021,8:50 AM,SC,RFID white,red/alum,01103FB533,1570-79160,,17,27.2,65,,,BCCH,,
10/31/2021,8:30 AM,SC,RFID blue,silver/alum,,,,16,27.9,68,,,BCCH,,
11/2/2021,,PP,RFID yellow,blue/alum,01103FA64E,1570-79161,,15.8,27,63,10.67,,BCCH,,
11/6/2021,,R9,RFID yellow,black/alum,01103FCF81,1570-79162,,15.4,26.2,62,,,BCCH,,
11/6/2021,,BW,yellow/alum,RFID greem,01103F92B4,1570-79163,,16.6,27.8,67,11.97,,BCCH,,
11/6/2021,,BW,white/alum,RFID white,01103FDF2C,1570-79164,,15.8,27.5,68,12.37,,BCCH,,
11/9/2021,,R9,grey/alum,RFID white,recap ,1570-79087,,16.6,27.2,66,10.59,,BCCH,,
11/9/2021,,BW,RFID green ,alum/green ,recap ,1570-79088,,16,27.3,65,11.49,,BCCH,,
11/9/2021,,BW,green/alum,RFID white,recap ,1570-79088,,16.5,27.4,68,11.09,,BCCH,,
11/9/2021,,PS,green/alum,RFID blue,recap ,1570-79153,,15.7,26.6,65,10.48,,BCCH,,
11/9/2021,,R9,RFID white,yellow/alum,recap ,1570-79159,,16.5,26.7,69,11.25,,BCCH,,
11/9/2021,,R9,black/alum,RFID yellow,recap ,1570-79162,,15.5,26.8,63,10.43,,BCCH,,
11/16/2021,,SC,RFID white,blue/alum,01103FA927,165,,16.5,28.3,63,,,BCCH,,
11/16/2021,,SC,RFID blue,white/alum,011016CA31,166,,15.7,25.5,,,,BCCH,,
11/16/2021,,SC,,,recap ,160-86.013,,,,,,,BCCH,,
11/18/2021,,SC,RFID red,red/alum,,1570-79069,,16.8,27.5,63,11.32,,BCCH,,
11/18/2021,,SC,yellow,blue/alum,,1570-79767,,14.98,25.7,64,10.8,,BCCH,,
11/21/2021,,BW,RFID black ,yellow/alum,011016DCBF,1570-79167,,14.1,26.3,66,10.36,,BCCH,,
12/5/2021,,BW,RFID blue ,black,01103F645E,1570-79168,,17.4,26.2,66,11.48,,BCCH,,
1/7/2020,,BT,Green/Alum,RFID Green,01103F5491,1570-79047,,17.2,27.1,67,11.5,,BCCH,,
1/15/2020,,SC,Red/Alum,RFID Purple,01103F8D5D,1570-79048,,17.1,26.1,66,10.5,,BCCH,,
1/22/2020,,TH,white/alum,RFID Purple,011016D91A,1570-79049,,15.9,26.4,67,11.4,,BCCH,,
9/9/2020,10:00,SC,black/alum,RFID white,recap,1570-79011,,16.2,27.2,67,,,BCCH,,
9/9/2020,9:00,SC,red/alum,RFID green,recap,1570-79016,,17.3,26.7,65,12.23,,BCCH,,
9/9/2020,10:00,SC,RFID red,lightgreen/alum,011016B7B7,1570-79050,,17.2,27.4,68,9.92,,BCCH,,
9/12/2020,,SC,red/alum,RFID green,recap,1570-79016,,,,,11.39,,BCCH,,
9/12/2020,9:00,TH,green/alum,RFID grey,0110172F1B,1570-79051,,17.5,26.3,60,12.05,,BCCH,,
9/12/2020,9:00,TH,RFID white,white/alum,011016FAB2,1570-79052,,16,26.8,64,10.55,,BCCH,,
9/12/2020,10:00,TH,blue/alum,RFID grey,01101740CA,1570-79053,,16.7,26.3,66,9.45,,BCCH,,
9/12/2020,10:00,TH,white/alum,RFID grey,0110172CF4,1570-79054,,16.1,27.3,68,11.71,,BCCH,,
9/15/2020,10:12,BT ,blue/alum,RFID yellow,recap,1570-79032,,16.5,26.5,62,12.42,,BCCH,,
9/19/2020,9:15,BW,yellow/alum,RFID Black,011016C46A,1570-79055,,16.1,25.7,64,12.02,,BCCH,,
9/19/2020,9:15,BW,RFID green,black/alum,01103F62FE,1570-79056,,15.8,26.9,63,11.37,,BCCH,,
9/19/2020,9:15,BW,black/alum,RFID yellow,01103F839B,1570-79057,,17.9,27.8,69,10.24,,BCCH,,
9/19/2020,9:30,BW,RFID black,red/alum,01103F5AA4,1570-79058,,17.1,27.8,68,9.95,,BCCH,,
9/19/2020,9:30,BW,RFID yellow,yellow/alum,011016BBED,1570-79059,,17,27,67,flew away,,BCCH,,
9/19/2020,9:30,BW,RFID grey,green/alum,01101737FF,1570-79060,,16.7,27,67,10.56,,BCCH,,
9/19/2020,9:30,BW,yellow/alum,RFID grey,01101720D7,1570-79061,,15.7,27.1,64,11,,BCCH,,
9/19/2020,9:30,BW,RFID yellow,purple/alum,011016DCC0,1570-79062,,16.6,27.3,65,11.12,,BCCH,,
9/19/2020,9:30,BW,RFID red,grey/alum,011016B71B,1570-79063,,15.7,27.5,63,11.6,,BCCH,,
